timestamp,z
1759998195.5795417,-0.045
1759998195.5795417,0.834
1759998195.5795417,0.755
1759998195.5795417,0.178
1759998195.6295362,-0.049
1759998195.6295362,0.845
1759998195.6295362,0.765
1759998195.6295362,0.195
1759998195.679688,-0.043
1759998195.679688,0.861
1759998195.679688,0.777
1759998195.679688,0.172
1759998195.729606,-0.045
1759998195.729606,0.836
1759998195.729606,0.741
1759998195.729606,0.194
1759998195.7791846,-0.044
1759998195.7791846,0.83
1759998195.7791846,0.741
1759998195.7791846,0.156
1759998195.828957,-0.037
1759998195.828957,0.852
1759998195.828957,0.762
1759998195.828957,0.129
1759998195.8788743,-0.037
1759998195.8788743,0.848
1759998195.8788743,0.767
1759998195.8788743,0.2
1759998195.9289746,-0.046
1759998195.9289746,0.834
1759998195.9289746,0.749
1759998195.9289746,0.165
1759998195.9792361,-0.04
1759998195.9792361,0.83
1759998195.9792361,0.75
1759998195.9792361,0.15
1759998196.0293531,-0.038
1759998196.0293531,0.842
1759998196.0293531,0.759
1759998196.0293531,0.177
1759998196.0793185,-0.043
1759998196.0793185,0.851
1759998196.0793185,0.776
1759998196.0793185,0.173
1759998196.1292157,-0.042
1759998196.1292157,0.843
1759998196.1292157,0.773
1759998196.1292157,0.166
1759998196.1804159,-0.039
1759998196.1804159,0.846
1759998196.1804159,0.775
1759998196.1804159,0.148
1759998196.2291327,-0.048
1759998196.2291327,0.837
1759998196.2291327,0.755
1759998196.2291327,0.156
1759998196.279199,-0.04
1759998196.279199,0.84
1759998196.279199,0.766
1759998196.279199,0.107
1759998196.328617,-0.044
1759998196.328617,0.847
1759998196.328617,0.766
1759998196.328617,0.192
1759998196.3781695,-0.037
1759998196.3781695,0.84
1759998196.3781695,0.754
1759998196.3781695,0.182
1759998196.4285014,-0.038
1759998196.4285014,0.843
1759998196.4285014,0.755
1759998196.4285014,0.116
1759998196.4780629,-0.036
1759998196.4780629,0.859
1759998196.4780629,0.776
1759998196.4780629,0.21
1759998196.5279698,-0.037
1759998196.5279698,0.847
1759998196.5279698,0.759
1759998196.5279698,0.161
1759998196.5780969,-0.035
1759998196.5780969,0.864
1759998196.5780969,0.782
1759998196.5780969,0.151
1759998196.6282887,-0.031
1759998196.6282887,0.869
1759998196.6282887,0.789
1759998196.6282887,0.14
1759998196.6781414,-0.034
1759998196.6781414,0.876
1759998196.6781414,0.788
1759998196.6781414,0.143
1759998196.7281508,-0.035
1759998196.7281508,0.867
1759998196.7281508,0.779
1759998196.7281508,0.171
1759998196.778931,-0.037
1759998196.778931,0.859
1759998196.778931,0.777
1759998196.778931,0.177
1759998196.8296301,-0.034
1759998196.8296301,0.855
1759998196.8296301,0.773
1759998196.8296301,0.132
1759998196.8792028,-0.031
1759998196.8792028,0.87
1759998196.8792028,0.795
1759998196.8792028,0.16
1759998196.9295378,-0.031
1759998196.9295378,0.877
1759998196.9295378,0.797
1759998196.9295378,0.18
1759998196.9799707,-0.032
1759998196.9799707,0.875
1759998196.9799707,0.805
1759998196.9799707,0.177
1759998197.0296242,-0.04
1759998197.0296242,0.858
1759998197.0296242,0.781
1759998197.0296242,0.079
1759998197.0791745,-0.046
1759998197.0791745,0.844
1759998197.0791745,0.761
1759998197.0791745,0.158
1759998197.1294086,-0.04
1759998197.1294086,0.846
1759998197.1294086,0.763
1759998197.1294086,0.175
1759998197.1791062,-0.053
1759998197.1791062,0.859
1759998197.1791062,0.787
1759998197.1791062,0.123
1759998197.2289917,-0.057
1759998197.2289917,0.856
1759998197.2289917,0.777
1759998197.2289917,0.165
1759998197.278512,-0.058
1759998197.278512,0.848
1759998197.278512,0.77
1759998197.278512,0.137
1759998197.328562,-0.05
1759998197.328562,0.836
1759998197.328562,0.754
1759998197.328562,0.124
1759998197.3784854,-0.061
1759998197.3784854,0.837
1759998197.3784854,0.749
1759998197.3784854,0.103
1759998197.4281309,-0.067
1759998197.4281309,0.827
1759998197.4281309,0.745
1759998197.4281309,0.151
1759998197.4800062,-0.072
1759998197.4800062,0.84
1759998197.4800062,0.758
1759998197.4800062,0.14
1759998197.5283782,-0.083
1759998197.5283782,0.828
1759998197.5283782,0.727
1759998197.5283782,0.151
1759998197.5780478,-0.074
1759998197.5780478,0.823
1759998197.5780478,0.725
1759998197.5780478,0.097
1759998197.6281307,-0.072
1759998197.6281307,0.827
1759998197.6281307,0.724
1759998197.6281307,0.155
1759998197.6780372,-0.077
1759998197.6780372,0.847
1759998197.6780372,0.74
1759998197.6780372,0.134
1759998197.7278907,-0.058
1759998197.7278907,0.812
