timestamp,rcs
1759998203.6277518,-2.3
1759998203.6787117,-1.8
1759998203.6787117,-3.9
1759998203.6787117,-3.9
1759998203.6787117,-4.1
1759998203.6787117,0.8
1759998203.7289739,-1.8
1759998203.7289739,-3.7
1759998203.7289739,-3.7
1759998203.7289739,-2.9
1759998203.778738,-1.8
1759998203.778738,-3.8
1759998203.778738,-3.8
1759998203.778738,-4.0
1759998203.778738,-2.3
1759998203.8284204,-1.8
1759998203.8284204,-4.0
1759998203.8284204,-4.0
1759998203.8284204,-3.2
1759998203.8284204,-0.4
1759998203.8780499,-1.8
1759998203.8780499,-3.9
1759998203.8780499,-3.9
1759998203.8780499,-3.1
1759998203.8780499,-4.2
1759998203.9288757,-1.7
1759998203.9288757,-3.8
1759998203.9288757,-3.8
1759998203.9288757,-2.6
1759998203.9288757,-3.3
1759998203.978598,-1.7
1759998203.978598,-3.9
1759998203.978598,-3.9
1759998203.978598,-3.0
1759998203.978598,-3.9
1759998204.0283985,-1.7
1759998204.0283985,-4.1
1759998204.0283985,-4.1
1759998204.0283985,-3.7
1759998204.0784764,-1.7
1759998204.0784764,-4.1
1759998204.0784764,-4.1
1759998204.0784764,-3.1
1759998204.128442,-1.7
1759998204.128442,-4.0
1759998204.128442,-4.0
1759998204.128442,-3.2
1759998204.1788492,-1.7
1759998204.1788492,-4.9
1759998204.1788492,-4.0
1759998204.1788492,-4.0
1759998204.1788492,-3.1
1759998204.1788492,0.1
1759998204.2285821,-1.7
1759998204.2285821,-4.0
1759998204.2285821,-4.0
1759998204.2285821,-3.0
1759998204.2783155,-1.7
1759998204.2783155,-3.9
1759998204.2783155,-3.9
1759998204.2783155,-3.2
1759998204.2783155,-0.2
1759998204.3283448,-1.7
1759998204.3283448,-3.9
1759998204.3283448,-3.9
1759998204.3283448,-2.9
1759998204.378369,-1.7
1759998204.378369,-3.9
1759998204.378369,-3.9
1759998204.378369,-3.6
1759998204.4285,-1.8
1759998204.4285,-3.7
1759998204.4285,-3.7
1759998204.4285,-2.9
1759998204.4285,-2.2
1759998204.4785025,-1.8
1759998204.4785025,-3.9
1759998204.4785025,-3.9
1759998204.4785025,-3.8
1759998204.4785025,-3.4
1759998204.5283277,-1.8
1759998204.5283277,-3.8
1759998204.5283277,-3.8
1759998204.5283277,-3.6
1759998204.5283277,-3.3
1759998204.5780315,-1.9
1759998204.5780315,-3.8
1759998204.5780315,-3.8
1759998204.5780315,-3.8
1759998204.5780315,0.9
1759998204.6284657,-1.9
1759998204.6284657,-3.9
1759998204.6284657,-3.9
1759998204.6284657,-3.3
1759998204.6284657,-4.6
1759998204.678225,-1.9
1759998204.678225,-4.0
1759998204.678225,-4.0
1759998204.678225,-3.9
1759998204.728383,-1.8
1759998204.728383,-3.9
1759998204.728383,-3.9
1759998204.728383,-3.8
1759998204.728383,-0.9
1759998204.7784755,-1.9
1759998204.7784755,-3.8
1759998204.7784755,-3.8
1759998204.7784755,-3.9
1759998204.8284214,-1.9
1759998204.8284214,-3.8
1759998204.8284214,-3.8
1759998204.8284214,-3.4
1759998204.878322,-1.9
1759998204.878322,-3.9
1759998204.878322,-3.9
1759998204.878322,-3.0
1759998204.878322,-4.8
1759998204.9282916,-1.8
1759998204.9282916,-3.9
1759998204.9282916,-3.9
1759998204.9282916,-3.1
1759998204.978222,-1.9
1759998204.978222,-3.7
1759998204.978222,-3.7
1759998204.978222,-3.5
1759998204.978222,-5.0
1759998205.0280304,-1.9
1759998205.0280304,-3.8
1759998205.0280304,-3.8
1759998205.0280304,-3.0
1759998205.0280304,-1.0
1759998205.0778708,-1.9
1759998205.0778708,-4.0
1759998205.0778708,-4.0
1759998205.0778708,-3.1
1759998205.1284268,-1.9
1759998205.1284268,-3.7
1759998205.1284268,-3.7
1759998205.1284268,-4.0
1759998205.179813,-1.8
1759998205.179813,-3.9
1759998205.179813,-3.9
1759998205.179813,-3.3
1759998205.2288916,-1.8
1759998205.2288916,-3.9
1759998205.2288916,-3.9
1759998205.2288916,-3.3
1759998205.2288916,-2.1
1759998205.2786906,-1.8
1759998205.2786906,-3.9
1759998205.2786906,-3.9
1759998205.2786906,-3.6
1759998205.2786906,-3.8
1759998205.3284822,-1.8
1759998205.3284822,-3.8
1759998205.3284822,-3.8
1759998205.3284822,-3.4
1759998205.3284822,-0.3
1759998205.3783855,-1.8
1759998205.3783855,-3.8
1759998205.3783855,-3.8
1759998205.3783855,-3.7
1759998205.3783855,-3.5
1759998205.4282093,-1.7
1759998205.4282093,-3.8
1759998205.4282093,-3.8
1759998205.4282093,-3.2
1759998205.4782913,-1.7
1759998205.4782913,-4.0
1759998205.4782913,-4.0
1759998205.4782913,-3.4
1759998205.52847,-1.7
1759998205.52847,-4.0
1759998205.52847,-4.0
1759998205.52847,-3.1
1759998205.5783045,-1.7
1759998205.5783045,-4.0
1759998205.5783045,-4.0
1759998205.5783045,-3.0
1759998205.5783045,-0.5
1759998205.6284013,-1.7
1759998205.6284013,-3.9
1759998205.6284013,-3.9
1759998205.6284013,-3.4
1759998205.6784546,-1.8
1759998205.6784546,-3.9
1759998205.6784546,-3.9
1759998205.6784546,-3.4
1759998205.6784546,-4.4
1759998205.6784546,-2.5
1759998205.728596,-1.7
1759998205.728596,-3.7
1759998205.728596,-3.7
1759998205.728596,-3.3
1759998205.7784889,-1.7
1759998205.7784889,-3.7
1759998205.7784889,-3.7
1759998205.7784889,-3.5
1759998205.7784889,-2.2
1759998205.8282485,-1.8
1759998205.8282485,-3.7
1759998205.8282485,-3.7
1759998205.8282485,-3.1
1759998205.8282485,-0.4
1759998205.8783207,-1.8
1759998205.8783207,-3.6
1759998205.8783207,-3.6
1759998205.8783207,-3.3
1759998205.8783207,-0.5
1759998205.9286337,-1.8
1759998205.9286337,-3.8
1759998205.9286337,-3.8
1759998205.9286337,-1.7
1759998205.9286337,-3.6
1759998205.9286337,-1.5
1759998205.9783251,-1.8
1759998205.9783251,-3.9
1759998205.9783251,-3.9
1759998205.9783251,-3.1
1759998206.0283792,-1.8
1759998206.0283792,-3.8
1759998206.0283792,-3.8
1759998206.0283792,-3.3
1759998206.0790513,-1.8
1759998206.0790513,-3.8
1759998206.0790513,-3.8
1759998206.0790513,-3.2
1759998206.0790513,-3.0
1759998206.1279147,-1.8
1759998206.1279147,-3.9
1759998206.1279147,-3.9
1759998206.1279147,-3.7
1759998206.178628,-1.8
1759998206.178628,-3.9
1759998206.178628,-3.9
1759998206.178628,-3.9
1759998206.178628,-3.7
1759998206.178628,-3.7
1759998206.178628,-3.7
1759998206.178628,-4.9
1759998206.178628,-4.9
1759998206.2283504,-1.9
1759998206.2283504,-3.9
1759998206.2283504,-3.9
1759998206.2283504,-4.7
1759998206.2783165,-1.9
1759998206.2783165,-3.9
1759998206.2783165,-3.9
1759998206.2783165,-2.3
1759998206.2783165,-3.9
1759998206.2783165,0.3
1759998206.3283215,-1.9
1759998206.3283215,-3.9
1759998206.3283215,-3.9
1759998206.3283215,-2.3
1759998206.3781064,-1.8
1759998206.3781064,-3.8
1759998206.3781064,-3.8
1759998206.3781064,-3.9
1759998206.3781064,-2.5
1759998206.428017,-1.9
1759998206.428017,-3.9
1759998206.428017,-3.9
1759998206.428017,-3.2
1759998206.4778569,-1.9
1759998206.4778569,-3.8
1759998206.4778569,-3.8
1759998206.4778569,-3.3
1759998206.527786,-1.8
1759998206.527786,-3.9
1759998206.527786,-3.9
1759998206.527786,-3.6
1759998206.5779896,-1.8
1759998206.5779896,-3.9
1759998206.5779896,-3.9
1759998206.5779896,-2.8
1759998206.628029,-1.9
1759998206.628029,-3.9
1759998206.628029,-3.9
1759998206.628029,-3.9
1759998206.678347,-1.8
1759998206.678347,-3.9
1759998206.678347,-3.9
1759998206.678347,-3.7
1759998206.7277277,-1.8
1759998206.7277277,-3.9
1759998206.7277277,-3.9
1759998206.7277277,-3.7
1759998206.777684,-1.8
1759998206.777684,-3.9
1759998206.777684,-3.9
1759998206.777684,-4.0
1759998206.777684,-4.0
1759998206.777684,-3.5
