timestamp,snr
1759998203.3280482,35.6
1759998203.3280482,35.6
1759998203.3280482,28.0
1759998203.3280482,42.3
1759998203.3780005,44.5
1759998203.3780005,35.7
1759998203.3780005,35.7
1759998203.3780005,27.7
1759998203.3780005,44.8
1759998203.4277556,44.6
1759998203.4277556,35.2
1759998203.4277556,35.2
1759998203.4277556,28.0
1759998203.4277556,41.3
1759998203.4775581,44.5
1759998203.4775581,35.5
1759998203.4775581,35.5
1759998203.4775581,27.2
1759998203.4775581,41.5
1759998203.527534,44.3
1759998203.527534,35.3
1759998203.527534,35.3
1759998203.527534,27.9
1759998203.5775185,44.4
1759998203.5775185,35.2
1759998203.5775185,35.2
1759998203.5775185,28.5
1759998203.6277518,44.5
1759998203.6277518,35.4
1759998203.6277518,35.4
1759998203.6277518,26.7
1759998203.6277518,41.8
1759998203.6787117,44.5
1759998203.6787117,35.4
1759998203.6787117,35.4
1759998203.6787117,27.3
1759998203.6787117,44.7
1759998203.7289739,44.5
1759998203.7289739,35.6
1759998203.7289739,35.6
1759998203.7289739,28.5
1759998203.778738,44.5
1759998203.778738,35.5
1759998203.778738,35.5
1759998203.778738,27.4
1759998203.778738,41.3
1759998203.8284204,44.5
1759998203.8284204,35.3
1759998203.8284204,35.3
1759998203.8284204,28.1
1759998203.8284204,43.2
1759998203.8780499,44.5
1759998203.8780499,35.4
1759998203.8780499,35.4
1759998203.8780499,28.3
1759998203.8780499,39.3
1759998203.9288757,44.5
1759998203.9288757,35.5
1759998203.9288757,35.5
1759998203.9288757,28.8
1759998203.9288757,40.1
1759998203.978598,44.6
1759998203.978598,35.3
1759998203.978598,35.3
1759998203.978598,28.3
1759998203.978598,39.3
1759998204.0283985,44.7
1759998204.0283985,35.3
1759998204.0283985,35.3
1759998204.0283985,27.7
1759998204.0784764,44.7
1759998204.0784764,35.3
1759998204.0784764,35.3
1759998204.0784764,28.3
1759998204.128442,44.7
1759998204.128442,35.4
1759998204.128442,35.4
1759998204.128442,28.3
1759998204.1788492,44.6
1759998204.1788492,36.1
1759998204.1788492,35.3
1759998204.1788492,35.3
1759998204.1788492,28.3
1759998204.1788492,25.1
1759998204.2285821,44.6
1759998204.2285821,35.3
1759998204.2285821,35.3
1759998204.2285821,28.4
1759998204.2783155,44.7
1759998204.2783155,35.5
1759998204.2783155,35.5
1759998204.2783155,28.2
1759998204.2783155,42.6
1759998204.3283448,44.5
1759998204.3283448,35.4
1759998204.3283448,35.4
1759998204.3283448,28.4
1759998204.378369,44.5
1759998204.378369,35.4
1759998204.378369,35.4
1759998204.378369,27.8
1759998204.4285,44.5
1759998204.4285,35.7
1759998204.4285,35.7
1759998204.4285,28.5
1759998204.4285,40.1
1759998204.4785025,44.3
1759998204.4785025,35.2
1759998204.4785025,35.2
1759998204.4785025,27.3
1759998204.4785025,38.4
1759998204.5283277,44.4
1759998204.5283277,35.4
1759998204.5283277,35.4
1759998204.5283277,27.6
1759998204.5283277,38.5
1759998204.5780315,44.4
1759998204.5780315,35.4
1759998204.5780315,35.4
1759998204.5780315,27.5
1759998204.5780315,42.7
1759998204.6284657,44.4
1759998204.6284657,35.4
1759998204.6284657,35.4
1759998204.6284657,28.1
1759998204.6284657,37.3
1759998204.678225,44.4
1759998204.678225,35.4
1759998204.678225,35.4
1759998204.678225,27.5
1759998204.728383,44.4
1759998204.728383,35.4
1759998204.728383,35.4
1759998204.728383,27.5
1759998204.728383,40.5
1759998204.7784755,44.4
1759998204.7784755,35.4
1759998204.7784755,35.4
1759998204.7784755,27.4
1759998204.8284214,44.4
1759998204.8284214,35.5
1759998204.8284214,35.5
1759998204.8284214,28.0
1759998204.878322,44.4
1759998204.878322,35.4
1759998204.878322,35.4
1759998204.878322,28.3
1759998204.878322,36.5
1759998204.9282916,44.4
1759998204.9282916,35.3
1759998204.9282916,35.3
1759998204.9282916,28.2
1759998204.978222,44.4
1759998204.978222,35.5
1759998204.978222,35.5
1759998204.978222,27.8
1759998204.978222,36.1
1759998205.0280304,44.3
1759998205.0280304,35.3
1759998205.0280304,35.3
1759998205.0280304,28.2
1759998205.0280304,39.8
1759998205.0778708,44.2
1759998205.0778708,35.1
1759998205.0778708,35.1
1759998205.0778708,28.0
1759998205.1284268,44.5
1759998205.1284268,35.6
1759998205.1284268,35.6
1759998205.1284268,27.5
1759998205.179813,44.3
1759998205.179813,35.2
1759998205.179813,35.2
1759998205.179813,27.9
1759998205.2288916,44.3
1759998205.2288916,35.2
1759998205.2288916,35.2
1759998205.2288916,27.9
1759998205.2288916,38.4
1759998205.2786906,44.4
1759998205.2786906,35.3
1759998205.2786906,35.3
1759998205.2786906,27.7
1759998205.2786906,36.6
1759998205.3284822,44.4
1759998205.3284822,35.4
1759998205.3284822,35.4
1759998205.3284822,27.9
1759998205.3284822,40.1
1759998205.3783855,44.5
1759998205.3783855,35.5
1759998205.3783855,35.5
1759998205.3783855,27.6
1759998205.3783855,36.8
1759998205.4282093,44.6
1759998205.4282093,35.5
1759998205.4282093,35.5
1759998205.4282093,28.2
1759998205.4782913,44.5
1759998205.4782913,35.3
1759998205.4782913,35.3
1759998205.4782913,28.0
1759998205.52847,44.5
1759998205.52847,35.3
1759998205.52847,35.3
1759998205.52847,28.2
1759998205.5783045,44.4
1759998205.5783045,35.2
1759998205.5783045,35.2
1759998205.5783045,28.2
1759998205.5783045,39.3
1759998205.6284013,44.4
1759998205.6284013,35.2
1759998205.6284013,35.2
