timestamp,y
1759998199.0766544,-0.036
1759998199.1268532,0.213
1759998199.1767316,0.038
1759998199.2762127,0.016
1759998199.2762127,-0.078
1759998199.426487,0.001
1759998199.5273192,-0.003
1759998199.6771154,-0.036
1759998199.7271626,0.359
1759998199.7271626,-0.011
1759998199.7271626,-0.169
1759998199.776704,0.364
1759998199.776704,-0.045
1759998199.8267474,-0.096
1759998199.977017,-0.0
1759998199.977017,-0.16
1759998200.177352,0.159
1759998200.177352,-0.011
1759998200.2267082,-0.055
1759998200.3276896,1.064
1759998200.3276896,-0.016
1759998200.4769738,-0.001
1759998200.6280465,0.353
1759998200.6280465,0.092
1759998200.6280465,-0.1
1759998200.6776617,-1.11
1759998200.7280478,0.354
1759998200.7773614,-0.817
1759998200.8272166,0.369
1759998200.876933,0.068
1759998200.9273355,0.376
1759998200.9273355,0.063
1759998200.977459,0.384
1759998200.977459,0.077
1759998200.977459,-0.807
1759998201.0270035,0.386
1759998201.0270035,0.094
1759998201.0772142,0.369
1759998201.0772142,0.098
1759998201.0772142,-0.845
1759998201.0772142,1.098
1759998201.0772142,-0.092
1759998201.127374,-1.114
1759998201.127374,0.098
1759998201.127374,-0.849
1759998201.177813,0.366
1759998201.177813,0.079
1759998201.177813,-0.842
1759998201.177813,1.243
1759998201.177813,-0.098
1759998201.227725,0.37
1759998201.227725,0.059
1759998201.227725,-0.142
1759998201.2772353,0.372
1759998201.2772353,0.053
1759998201.2772353,-0.818
1759998201.2772353,-0.11
1759998201.3274837,0.374
1759998201.3274837,0.05
1759998201.3274837,-0.828
1759998201.3774235,0.366
1759998201.3774235,0.071
1759998201.3774235,-0.837
1759998201.3774235,1.118
1759998201.4273722,0.366
1759998201.4273722,0.075
1759998201.4273722,-0.824
1759998201.4776242,0.373
1759998201.4776242,0.098
1759998201.4776242,-0.824
1759998201.4776242,-1.168
1759998201.4776242,-0.164
1759998201.5273607,0.373
1759998201.5273607,0.076
1759998201.5273607,-0.821
1759998201.5273607,1.12
1759998201.5273607,-0.093
1759998201.5774608,0.37
1759998201.5774608,-1.108
1759998201.5774608,0.074
1759998201.5774608,-0.827
1759998201.5774608,-0.133
1759998201.6275065,0.377
1759998201.6275065,0.064
1759998201.6275065,-0.828
1759998201.6275065,1.041
1759998201.6772838,0.372
1759998201.6772838,0.078
1759998201.6772838,-0.825
1759998201.6772838,-0.077
1759998201.727377,0.372
1759998201.727377,-1.097
1759998201.727377,0.069
1759998201.727377,-0.823
1759998201.727377,-0.051
1759998201.7776494,0.366
1759998201.7776494,0.084
1759998201.7776494,-0.822
1759998201.7776494,-0.097
1759998201.8276327,0.369
1759998201.8276327,0.105
1759998201.8276327,-0.817
